accessionNumber,filing_date,report_date,acceptanceDateTime,act,form_type,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,ticker,cik
0001140361-25-044561,2025-12-05,2025-12-04,2025-12-05T16:31:42.000Z,34,8-K,001-36743,251553428,5.02,XBRL,238615,1,1,ef20060722_8k.htm,8-K,AAPL,320193
0001462356-25-000012,2025-11-14,2025-11-12,2025-11-14T18:30:15.000Z,,4,,,,4,4618,0,0,xslF345X05/wk-form4_1763163012.xml,FORM 4,AAPL,320193
0001354457-25-001138,2025-11-14,,2025-11-14T16:10:12.000Z,34,25-NSE,000-10030,251486148,,25-NSE,3106,0,0,xslF25X02/primary_doc.xml,,AAPL,320193
0001631982-25-000011,2025-11-12,2025-11-07,2025-11-12T18:30:10.000Z,,4,,,,4,5135,0,0,xslF345X05/wk-form4_1762990206.xml,FORM 4,AAPL,320193
0000320193-25-000079,2025-10-31,2025-09-27,2025-10-31T06:01:26.000Z,34,10-K,001-36743,251437791,,XBRL,9392337,1,1,aapl-20250927.htm,10-K,AAPL,320193
0000320193-25-000077,2025-10-30,2025-10-30,2025-10-30T16:30:35.000Z,34,8-K,001-36743,251436166,"2.02,9.01",XBRL,453184,1,1,aapl-20251030.htm,8-K,AAPL,320193
0002050912-25-000008,2025-10-17,2025-10-15,2025-10-17T18:31:09.000Z,,4,,,,4,20911,0,0,xslF345X05/wk-form4_1760740266.xml,FORM 4,AAPL,320193
0001631982-25-000009,2025-10-17,2025-10-15,2025-10-17T18:30:16.000Z,,4,,,,4,15763,0,0,xslF345X05/wk-form4_1760740212.xml,FORM 4,AAPL,320193
0001950047-25-008030,2025-10-16,,2025-10-16T16:23:19.000Z,33,144,001-36743,251397914,,144,4811,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0001214156-25-000011,2025-10-03,2025-10-01,2025-10-03T18:33:53.000Z,,4,,,,4,19105,0,0,xslF345X05/wk-form4_1759530830.xml,FORM 4,AAPL,320193
0001767094-25-000009,2025-10-03,2025-10-01,2025-10-03T18:32:27.000Z,,4,,,,4,15004,0,0,xslF345X05/wk-form4_1759530744.xml,FORM 4,AAPL,320193
0002078476-25-000005,2025-10-03,2025-10-01,2025-10-03T18:31:33.000Z,,4,,,,4,11808,0,0,xslF345X05/wk-form4_1759530690.xml,FORM 4,AAPL,320193
0001462356-25-000010,2025-10-03,2025-10-01,2025-10-03T18:30:27.000Z,,4,,,,4,18762,0,0,xslF345X05/wk-form4_1759530624.xml,FORM 4,AAPL,320193
0001950047-25-007713,2025-10-02,,2025-10-02T16:25:50.000Z,33,144,001-36743,251369562,,144,4855,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0001959173-25-006313,2025-10-02,,2025-10-02T16:25:37.000Z,33,144/A,001-36743,251369559,,144/A,4681,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0001969223-25-000824,2025-10-02,,2025-10-02T16:10:56.000Z,33,144,001-36743,251369091,,144,5033,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0001959173-25-006307,2025-10-02,,2025-10-02T16:09:12.000Z,33,144,001-36743,251369036,,144,4655,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0001969223-25-000822,2025-10-02,,2025-10-02T16:04:39.000Z,33,144,001-36743,251368883,,144,4445,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0002050912-25-000006,2025-09-30,2025-09-28,2025-09-30T18:35:16.000Z,,4,,,,4,8096,0,0,xslF345X05/wk-form4_1759271713.xml,FORM 4,AAPL,320193
0001767094-25-000007,2025-09-30,2025-09-28,2025-09-30T18:34:20.000Z,,4,,,,4,8100,0,0,xslF345X05/wk-form4_1759271656.xml,FORM 4,AAPL,320193
0002078476-25-000003,2025-09-30,2025-09-28,2025-09-30T18:33:15.000Z,,4,,,,4,8067,0,0,xslF345X05/wk-form4_1759271592.xml,FORM 4,AAPL,320193
0001214156-25-000009,2025-09-30,2025-09-28,2025-09-30T18:32:09.000Z,,4,,,,4,8130,0,0,xslF345X05/wk-form4_1759271527.xml,FORM 4,AAPL,320193
0001462356-25-000008,2025-09-30,2025-09-28,2025-09-30T18:30:22.000Z,,4,,,,4,8133,0,0,xslF345X05/wk-form4_1759271419.xml,FORM 4,AAPL,320193
0001140361-25-036313,2025-09-26,,2025-09-26T16:33:30.000Z,33,S-8,333-290548,251351021,,S-8,236775,1,1,ef20049219_s8.htm,S-8,AAPL,320193
0001140361-25-036310,2025-09-26,,2025-09-26T16:30:59.000Z,33,S-8,333-290545,251350987,,S-8,428150,1,1,ef20049213_s8.htm,S-8,AAPL,320193
0001214128-25-000005,2025-08-29,2025-08-28,2025-08-29T18:30:10.000Z,,4,,,,4,5708,0,0,xslF345X05/wk-form4_1756506606.xml,FORM 4,AAPL,320193
0001921094-25-001042,2025-08-28,,2025-08-28T16:03:26.000Z,33,144,001-36743,251273290,,144,4351,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0001631982-25-000007,2025-08-27,2025-08-25,2025-08-27T18:30:14.000Z,,4,,,,4,4668,0,0,xslF345X05/wk-form4_1756333811.xml,FORM 4,AAPL,320193
0001767094-25-000005,2025-08-12,2025-08-08,2025-08-12T18:30:19.000Z,,4,,,,4,5244,0,0,xslF345X05/wk-form4_1755037816.xml,FORM 4,AAPL,320193
0001969223-25-000586,2025-08-08,,2025-08-08T16:07:15.000Z,33,144,001-36743,251198445,,144,4441,0,0,xsl144X01/primary_doc.xml,,AAPL,320193
0000320193-25-000073,2025-08-01,2025-06-28,2025-08-01T06:00:42.000Z,34,10-Q,001-36743,251173509,,XBRL,5304776,1,1,aapl-20250628.htm,10-Q,AAPL,320193
0000320193-25-000071,2025-07-31,2025-07-31,2025-07-31T16:30:25.000Z,34,8-K,001-36743,251172116,"2.02,9.01",XBRL,420256,1,1,aapl-20250731.htm,8-K,AAPL,320193
0000932471-25-000778,2025-07-29,,2025-07-29T11:22:01.000Z,34,SCHEDULE 13G/A,005-33632,251159050,,SCHEDULE 13G/A,6267,0,0,xslSCHEDULE_13G_X01/primary_doc.xml,,AAPL,320193
0000320193-25-000066,2025-07-25,2025-07-25,2025-07-25T18:33:09.000Z,,3,,,,3,494005,0,0,xslF345X02/wk-form3_1753482781.xml,FORM 3,AAPL,320193
